id,Name,Description,Rarity,Attack,HP_Bonus,Speed,Evasion_Rate,Defense_Rate,BuyPrice,SellPrice
0,훈련용 갑옷,왕국 훈련병들이 사용하는 가장 기본적인 갑옷.,RARITY_NORMAL,0,300,10,0,0,2050,1025
1,견습생의 로브,마력 제어가 익숙지 않은 견습생을 위한 로브.,RARITY_NORMAL,0,500,15,0,0.03,7750,3875
2,주문이 새겨진 의복,보호 마법 주문 몇 개가 희미하게 새겨져 있다.,RARITY_NORMAL,0,550,12,0,0.04,9125,4563
3,녹슨 철 투구,낡은 투구. 곳곳이 찌그러져 있다.,RARITY_NORMAL,0,625,8,0,0.05,10488,5244
4,흠집난 롱부츠,부츠 곳곳에 깊은 흠집이 나 있다.,RARITY_NORMAL,0,350,18,0,0.02,6025,3013
5,조잡한 철 장갑,철퇴를 휘두를 때 손을 보호하기 위한 장갑.,RARITY_NORMAL,0,400,13,0,0.04,8700,4350
6,이 빠진 목제 방패,전투의 흔적이 역력한 방패.,RARITY_NORMAL,0,580,11,0,0.05,10630,5315
7,목공용 가죽 장갑,방어구로 쓰기엔 애매한 공구함에 있었을 법한 장갑.,RARITY_NORMAL,0,440,16,0,0.01,4640,2320
8,무딘 날의 견갑,어깨를 보호하기 위한 견갑. ,RARITY_NORMAL,0,610,9,0,0.05,10535,5268
9,보급형 가죽 갑옷,왕국 병사들에게 대량으로 보급하기 위해 만든 갑옷.,RARITY_NORMAL,0,670,7,0,0.06,12045,6023
10,찌그러진 철제 투구,한쪽이 우스꽝스럽게 찌그러져 있다.,RARITY_NORMAL,0,590,12,0,0.04,9265,4633
11,사냥꾼의 가죽 장화,사냥꾼들이 즐겨 쓰던 장화이다.,RARITY_NORMAL,0,390,16,0,0.03,7465,3733
12,훈련용 목제 방패,실전에서 쓰기엔 무리가 있어 보인다.,RARITY_NORMAL,0,440,13,0,0.03,7340,3670
13,균형 잃은 철 갑옷,무게 중심이 한쪽으로 쏠려있어 몸을 가누기 어렵다.,RARITY_NORMAL,0,700,7,0,0.06,12150,6075
14,물에 젖은 마법가방,마력이 깃든 가방은 방어구로 활용할 수 있는 모양이다. ,RARITY_NORMAL,0,330,22,0,0.01,4855,2428
15,민병대의 가죽 조끼,마을을 지키는 민병대에게 지급되는 기본적인 조끼.,RARITY_NORMAL,0,500,13,0,0.04,9050,4525
16,입문용 마법 모자,쓰면 머리가 좋아지는 기분이 든다.,RARITY_NORMAL,0,490,16,0,0.04,9315,4658
17,훈련용 가죽 신발,훈련장을 편하게 돌아다니기 위한 신발.,RARITY_NORMAL,0,500,16,0,0.03,7850,3925
18,빛 바랜 허리띠,허리띠에 아직 희미한 마력이 남아있어 보인다.,RARITY_NORMAL,0,400,15,0,0.05,10400,5200
19,뭉툭한 강철 장갑,손가락 끝이 단단하게 보강되어 있다.,RARITY_NORMAL,0,550,13,0,0.04,9225,4613
20,방치된 병사의 갑옷,오랫동안 창고에 방치된 흔적이 남아있는 갑옷.,RARITY_NORMAL,0,620,12,0,0.05,10870,5435
21,해진 가죽 장갑,채찍을 다루기 위한 것으로 보이는 장갑,RARITY_NORMAL,0,520,16,0,0.04,9420,4710
22,연습용 판금 갑옷,왕실 대련에서 사용되던 두꺼운 갑옷.,RARITY_NORMAL,0,650,13,0,0.05,11075,5538
23,사냥꾼의 동물 뼈 투구,위협적인 뿔 장식이 달려있다.,RARITY_NORMAL,0,600,9,0,0.06,12000,6000
24,추격자의 가죽 갑옷,적을 추격하는 자에게 어울리는 가벼운 갑옷.,RARITY_RARE,0,2700,33,0.02,0.16,39150,19575
25,암살자의 모자,위장 효과가 있는 특수한 모자.,RARITY_RARE,0,2200,40,0.06,0.11,35400,17700
26,왕실기사의 갑옷,왕국에 충성을 맹세한 자에게 내려지는 갑옷.,RARITY_RARE,0,2750,35,0.05,0.15,41625,20813
27,강철 비늘 갑옷,촘촘한 비늘 구조가 날카로운 공격을 미끄러트립니다.,RARITY_RARE,0,2600,33,0.04,0.16,41200,20600
28,매복자의 신발,은신에 유리한 가벼운 신발.,RARITY_RARE,0,2100,38,0.06,0.12,36350,18175
29,야만전사의 어깨 보호대,거대한 대형도끼를 휘두르기 위한 보호대.,RARITY_RARE,0,2450,36,0.03,0.14,36775,18388
30,결투사의 경량 갑옷,최소한의 방어만 남기고 모든 것을 속도에 투자했다.,RARITY_RARE,0,1850,45,0.03,0.11,31075,15538
31,강철 골렘 갑옷,강철 골렘의 조각을 갑옷에 붙여 심장을 지킨다.,RARITY_RARE,0,3000,27,0.02,0.2,45600,22800
32,수호자의 서약 반지,누군가를 지키기 위한 기도가 담겨있다.,RARITY_RARE,0,2250,35,0.04,0.22,49175,24588
33,만용의 갑옷,제작자의 실수로 갑옷의 성능이 부위마다 제각각이다.,RARITY_RARE,0,2650,28,0.7,0.11,112575,56288
34,여명의 갑옷,동트기 전 가장 어두운 시간에도 빛을 잃지 않는 갑옷.,RARITY_RARE,0,3300,27,0.01,0.18,42450,21225
35,돌격대의 강철 흉갑,적진을 향해 무모하게 돌진하던 자의 흉갑.,RARITY_RARE,0,2950,33,0.01,0.19,43325,21663
36,왕실 근위대의 방패,왕실을 호위하던 근위대의 방패. 마법 저항력이 높다.,RARITY_RARE,0,3000,30,0.05,0.16,43500,21750
37,성기사의 축복받은 경갑,신성한 힘이 깃든 성기사의 경갑.,RARITY_RARE,0,2900,33,0.06,0.14,41650,20825
38,전투사제의 장갑,착용자를 신성한 힘으로 보호하는 장갑.,RARITY_RARE,0,2450,40,0.08,0.12,40175,20088
39,밤의 장막 로브,어둠 속에 몸을 숨기는 자들을 위한 로브.,RARITY_RARE,0,2400,42,0.09,0.11,39900,19950
40,수석 마법사의 모자,강력한 정신 보호 마법이 걸려있는 모자.,RARITY_RARE,0,2300,41,0.07,0.13,40050,20025
41,결투사의 투구,날렵한 움직임을 위해 최소한의 부위만 가리는 경량 투구.,RARITY_RARE,0,2800,30,0.03,0.15,38900,19450
42,후회의 거울 방패,상대의 공격을 반사하여 자신이 저지른 과오를 비춰준다.,RARITY_EPIC,0,9000,75,0.12,0.25,90900,45450
43,고요한 한숨의 갑옷,착용자에게 서늘한 냉기를 전한다.,RARITY_EPIC,0,11000,58,0.08,0.33,103400,51700
44,눈먼 수호자의 투구,지켜야 할 대상을 잃고 눈이 멀어버린 수호자의 투구.,RARITY_EPIC,0,10500,60,0.1,0.31,101250,50625
