name,attack,max_hp,max_toughness,speed,evasion_rate,defence_rate
무해한 슬라임,50,1000,150,400,0.05,0.08
얼음 슬라임,75,1500,150,415,0.08,0.11
가시 슬라임,100,2000,150,430,0.11,0.14
독 버섯,125,2500,175,445,0.14,0.17
독 사과,200,3500,175,460,0.17,0.2
감시자 기계 1,275,4500,175,475,0.2,0.23
대형 웜,350,5500,200,490,0.23,0.26
대형 지네,450,7000,200,505,0.26,0.29
감시자 기계 2,550,8500,200,520,0.29,0.32
칼리번의 종,650,10000,225,535,0.32,0.35
수호자 1,900,12000,225,550,0.35,0.38
수호자 2,1150,14000,225,565,0.38,0.41
칼리번,1400,100000,250,600,0,0
미확인 생명체,50,1000,150,400,0.05,0.08
